X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,material_consumption
0.0,0.0,0.5,-0.15736,1.0,0.0,0.271717,-0.655772,0.8,-0.7,4.551
0.0,0.0,0.5,-0.281775,1.0,0.0,0.266395,-0.552645,0.8,-0.7,4.258
0.0,0.0,0.5,0.040902,1.0,0.0,0.285542,-0.798735,0.8,-0.7,5.186999999999999
0.0,0.0,0.5,-0.154906,1.0,0.0,0.262361,-0.695651,0.8,-0.7,4.643000000000001
0.0,0.0,0.5,-0.166996,1.0,0.0,0.057779,-0.901887,0.8,-0.7,5.356
0.0,0.0,0.5,0.073036,1.0,0.0,0.073902,-0.477428,0.8,-0.7,4.901
0.0,0.0,0.5,0.06071,1.0,0.0,0.190104,-0.600296,0.8,-0.7,4.928
0.0,0.0,0.5,-0.191595,1.0,0.0,0.089374,-0.75091,0.8,-0.7,4.95
0.0,0.0,0.5,0.051324,1.0,0.0,0.272219,-0.862449,0.8,-0.7,5.373
0.0,0.0,0.5,0.109717,1.0,0.0,0.156949,-0.781921,0.8,-0.7,5.456
0.0,0.0,0.5,-0.111787,1.0,0.0,0.017787,-0.517064,0.8,-0.7,4.746
0.0,0.0,0.5,-0.090396,1.0,0.0,0.015807,-0.546375,0.8,-0.7,4.823
0.0,0.0,0.5,0.02094,1.0,0.0,0.16603,-0.65682,0.8,-0.7,4.979
0.0,0.0,0.5,-0.195211,1.0,0.0,0.11375,-0.649787,0.8,-0.7,4.712
0.0,0.0,0.5,0.296318,1.0,0.0,0.273006,-0.504296,0.8,-0.7,5.328
0.0,0.0,0.5,0.224916,1.0,0.0,0.071026,-0.640812,0.8,-0.7,5.589
0.0,0.0,0.5,-0.264167,1.0,0.0,0.289103,-0.47942,0.8,-0.7,4.139
0.0,0.0,0.5,-0.086315,1.0,0.0,0.269589,-0.735329,0.8,-0.7,4.817
0.0,0.0,0.5,0.196212,1.0,0.0,0.003455,-0.88239,0.8,-0.7,6.128
0.0,0.0,0.5,0.121029,1.0,0.0,0.248411,-0.427384,0.8,-0.7,4.724
0.0,0.0,0.5,-0.112682,1.0,0.0,0.021459,-0.501481,0.8,-0.7,4.714
0.0,0.0,0.5,0.213147,1.0,0.0,0.0114,-0.867547,0.8,-0.7,6.13
0.0,0.0,0.5,0.22486,1.0,0.0,0.226496,-0.618876,0.8,-0.7,5.353
0.0,0.0,0.5,-0.016701,1.0,0.0,0.192807,-0.512072,0.8,-0.7,4.612
0.0,0.0,0.5,-0.12592,1.0,0.0,0.154744,-0.555104,0.8,-0.7,4.563000000000001
0.0,0.0,0.5,0.143451,1.0,0.0,0.00374,-0.828491,0.8,-0.7,5.862
0.0,0.0,0.5,0.180234,1.0,0.0,0.035312,-0.738987,0.8,-0.7,5.717
0.0,0.0,0.5,-0.071473,1.0,0.0,0.163635,-0.573987,0.8,-0.7,4.66
0.0,0.0,0.5,0.143523,1.0,0.0,0.122016,-0.955459,0.8,-0.7,5.996
0.0,0.0,0.5,0.177753,1.0,0.0,0.108681,-0.44303,0.8,-0.7,5.051
0.0,0.0,0.5,0.005228,1.0,0.0,0.259979,-0.865314,0.8,-0.7,5.292
0.0,0.0,0.5,-0.253383,1.0,0.0,0.212547,-0.796429,0.8,-0.7,4.808
0.0,0.0,0.5,-0.096938,1.0,0.0,0.067738,-0.932109,0.8,-0.7,5.507
0.0,0.0,0.5,-0.068317,1.0,0.0,0.225728,-0.928769,0.8,-0.7,5.343999999999999
0.0,0.0,0.5,0.236188,1.0,0.0,0.119536,-0.458042,0.8,-0.7,5.225
0.0,0.0,0.5,-0.273459,1.0,0.0,0.081728,-0.699631,0.8,-0.7,4.795
0.0,0.0,0.5,0.134739,1.0,0.0,0.073958,-0.538908,0.8,-0.7,5.15
0.0,0.0,0.5,0.276707,1.0,0.0,0.002618,-0.966234,0.8,-0.7,6.567
0.0,0.0,0.5,0.216808,1.0,0.0,0.207935,-0.685068,0.8,-0.7,5.48
0.0,0.0,0.5,-0.117451,1.0,0.0,0.029711,-0.463705,0.8,-0.7,4.638
0.0,0.0,0.5,0.223587,1.0,0.0,0.23472,-0.584706,0.8,-0.7,5.276999999999999
0.0,0.0,0.5,0.086719,1.0,0.0,0.088647,-0.432129,0.8,-0.7,4.838
0.0,0.0,0.5,-0.053802,1.0,0.0,0.241137,-0.88165,0.8,-0.7,5.237
0.0,0.0,0.5,-0.036997,1.0,0.0,0.066947,-0.995214,0.8,-0.7,5.762
0.0,0.0,0.5,0.019342,1.0,0.0,0.235843,-0.975969,0.8,-0.7,5.623
0.0,0.0,0.5,-0.093197,1.0,0.0,0.216653,-0.940192,0.8,-0.7,5.341
